"word","sentiment","Polarität"
"Abbau",-0.058,"negative"
"Abbruch",-0.0048,"negative"
"Abdankung",-0.0048,"negative"
"Abdämpfung",-0.0048,"negative"
"Abfall",-0.0048,"negative"
"Abfuhr",-0.3367,"negative"
"Abgrund",-0.3465,"negative"
"Abhängigkeit",-0.3653,"negative"
"Ablehnung",-0.5118,"negative"
"Ablenkung",-0.0435,"negative"
"Abnahme",-0.0048,"negative"
"Abneigung",-0.0048,"negative"
"Abnutzung",-0.0048,"negative"
"Abriss",-0.0048,"negative"
"Abrutsch",-0.0048,"negative"
"Abschaffung",-0.058,"negative"
"Abschreckung",-0.0048,"negative"
"Abschreibung",-0.3345,"negative"
"Abschuß",-0.0048,"negative"
"Abschuss",-0.0048,"negative"
"Abschwächung",-0.1935,"negative"
"Absenkung",-0.3434,"negative"
"Abspaltung",-0.0048,"negative"
"Absperrung",-0.0048,"negative"
"Abstieg",-0.3215,"negative"
"Abstoß",-0.0048,"negative"
"Abstrich",-0.3201,"negative"
"Abstumpfung",-0.0048,"negative"
"Absturz",-0.4739,"negative"
"Absurdität",-0.0048,"negative"
"Abweichung",-0.3462,"negative"
"Abweisung",-0.0048,"negative"
"Abwertung",-0.3283,"negative"
"Abwärtstrend",-0.1941,"negative"
"Abzocke",-0.0048,"negative"
"Achtlosigkeit",-0.0048,"negative"
"Affäre",-0.1794,"negative"
"Aggression",-0.4889,"negative"
"Aggressivität",-0.1958,"negative"
"Aggressor",-0.3155,"negative"
"Agitation",-0.0048,"negative"
"Alarm",-0.0048,"negative"
"Alptraum",-0.0048,"negative"
"Albtraum",-0.0048,"negative"
"Amateur",-0.0048,"negative"
"Ambivalenz",-0.3266,"negative"
"Androhung",-0.0048,"negative"
"Anfälligkeit",-0.0048,"negative"
"Angreifer",-0.0048,"negative"
"Angriff",-0.212,"negative"
"Angst",-0.514,"negative"
"Anklage",-0.3468,"negative"
"Anmaßung",-0.0048,"negative"
"Annullierung",-0.0048,"negative"
"Anomalie",-0.0048,"negative"
"Anspannung",-0.0048,"negative"
"Anstrengung",-0.0048,"negative"
"Antipathie",-0.0048,"negative"
"Arbeitslose",-0.3549,"negative"
"Arbeitslosigkeit",-0.3654,"negative"
"Armut",-0.2038,"negative"
"Arroganz",-0.3289,"negative"
"Arschloch",-0.1901,"negative"
"Attacke",-0.47,"negative"
"Aufhebung",-0.0048,"negative"
"Auflösung",-0.0048,"negative"
"Aufregung",-0.0386,"negative"
"Aufruhr",-0.0048,"negative"
"Aufschrei",-0.0048,"negative"
"Aufstand",-0.0048,"negative"
"Ausbeute",-0.1894,"negative"
"Ausbeuter",-0.0048,"negative"
"Ausbeutung",-0.0048,"negative"
"Ausbruch",-0.0048,"negative"
"Auseinandersetzung",-0.0603,"negative"
"Ausfall",-0.2164,"negative"
"Ausgrenzung",-0.626,"negative"
"Auslöschung",-0.0048,"negative"
"Ausrottung",-0.0048,"negative"
"Ausschließung",-0.0048,"negative"
"Aussetzung",-0.0048,"negative"
"Banalität",-0.0048,"negative"
"Bankrott",-0.0048,"negative"
"Barriere",-0.0048,"negative"
"Bedeutungslosigkeit",-0.0048,"negative"
"Bedrohung",-0.0048,"negative"
"Bedrängung",-0.0048,"negative"
"Bedrückung",-0.0435,"negative"
"Bedürftige",-0.0048,"negative"
"Beeinträchtigung",-0.3472,"negative"
"Befall",-0.0048,"negative"
"Befangenheit",-0.0048,"negative"
"Befürchtung",-0.4903,"negative"
"Begrenzung",-0.0048,"negative"
"Behinderung",-0.3578,"negative"
"Belastung",-0.3711,"negative"
"Beleidigung",-0.3432,"negative"
"Belästigung",-0.0048,"negative"
"Beschneidung",-0.3313,"negative"
"Beschränkung",-0.3518,"negative"
"Beschuldigung",-0.3209,"negative"
"Beschwerde",-0.0048,"negative"
"Beschwerlichkeit",-0.0048,"negative"
"Beschädigung",-0.0048,"negative"
"Beschäftigungslose",-0.0048,"negative"
"Beschäftigungsloser",-0.0048,"negative"
"Beschämung",-0.0048,"negative"
"Beseitigung",-0.0048,"negative"
"Besorgnis",-0.0048,"negative"
"Bestechung",-0.0048,"negative"
"Besteuerung",-0.0048,"negative"
"Bestrafung",-0.0048,"negative"
"Bestürzung",-0.0048,"negative"
"Betrug",-0.4913,"negative"
"Betrüger",-0.3311,"negative"
"Beule",-0.0048,"negative"
"Beunruhigung",-0.324,"negative"
"Bevormundung",-0.0048,"negative"
"Bitterkeit",-0.0048,"negative"
"Blindheit",-0.0048,"negative"
"Blockade",-0.0048,"negative"
"Blockierung",-0.0048,"negative"
"Blödheit",-0.0048,"negative"
"Bombardement",-0.0048,"negative"
"Bombardierung",-0.0048,"negative"
"Bombe",-0.0048,"negative"
"Bosheit",-0.3371,"negative"
"Brand",-0.0048,"negative"
"Bruch",-0.3463,"negative"
"Brutalität",-0.0048,"negative"
"Bußgeld",-0.3377,"negative"
"Bösartigkeit",-0.3189,"negative"
"Bösewicht",-0.0048,"negative"
"Bürde",-0.0524,"negative"
"Chaos",-0.3489,"negative"
"Crash",-0.1885,"negative"
"Defekt",-0.0048,"negative"
"Defizit",-0.347,"negative"
"Deformation",-0.0048,"negative"
"Degradierung",-0.3137,"negative"
"Dekadenz",-0.0048,"negative"
"Demütigung",-0.0048,"negative"
"Denkfehler",-0.0048,"negative"
"Depression",-0.4951,"negative"
"Desaster",-0.3413,"negative"
"Desinteresse",-0.3348,"negative"
"Dezimierung",-0.0048,"negative"
"Dieb",-0.1962,"negative"
"Diebstahl",-0.3505,"negative"
"Diffamierung",-0.4591,"negative"
"Diktator",-0.0048,"negative"
"Dilemma",-0.3403,"negative"
"Diskriminierung",-0.0048,"negative"
"Dissens",-0.0048,"negative"
"Dominierung",-0.0048,"negative"
"Doppeldeutigkeit",-0.0048,"negative"
"Doppelspiel",-0.0048,"negative"
"Dreck",-0.0048,"negative"
"Drift",-0.0048,"negative"
"Drohung",-0.0048,"negative"
"Drosselung",-0.3178,"negative"
"Dummheit",-0.4877,"negative"
"Dummkopf",-0.0048,"negative"
"Dunkelheit",-0.3547,"negative"
"Durcheinander",-0.0048,"negative"
"Dussel",-0.3094,"negative"
"Dämpfer",-0.0048,"negative"
"Dürre",-0.0048,"negative"
"Düsternis",-0.0048,"negative"
"Egoist",-0.3179,"negative"
"Ehebruch",-0.4743,"negative"
"Einbrecher",-0.0048,"negative"
"Einbruch",-0.3498,"negative"
"Einbuße",-0.0048,"negative"
"Einsamkeit",-0.339,"negative"
"Einschlag",-0.0048,"negative"
"Einschränkung",-0.2048,"negative"
"Einschüchterung",-0.0048,"negative"
"insturz",-0.0048,"negative"
"Ekel",-0.462,"negative"
"Elend",-0.2013,"negative"
"Empörung",-0.0048,"negative"
"Ende",-0.2088,"negative"
"Energielosigkeit",-0.0048,"negative"
"Entbindung",-0.0048,"negative"
"Entfremdung",-0.0048,"negative"
"Entführung",-0.0048,"negative"
"Enthauptung",-0.0048,"negative"
"Entlassung",-0.0048,"negative"
"Entmutigung",-0.0048,"negative"
"Enttäuschung",-0.3378,"negative"
"Entziehung",-0.0048,"negative"
"Epidemie",-0.0048,"negative"
"Ermahnung",-0.0048,"negative"
"Ermordung",-0.332,"negative"
"Ermüdung",-0.0048,"negative"
"Erniedrigung",-0.3259,"negative"
"Ernüchterung",-0.0048,"negative"
"Erosion",-0.0666,"negative"
"Erpressung",-0.0048,"negative"
"Erschöpfung",-0.0595,"negative"
"Erschütterung",-0.0048,"negative"
"Explosion",-0.0048,"negative"
"Fahrlässigkeit",-0.0048,"negative"
"Farce",-0.3349,"negative"
"Faschist",-0.0048,"negative"
"Faulheit",-0.611,"negative"
"Fehde",-0.0048,"negative"
"Fehlanzeige",-0.0048,"negative"
"Fehler",-0.6752,"negative"
"Fehlermeldung",-0.4765,"negative"
"Fehlkauf",-0.0048,"negative"
"Fehlkonstruktion",-0.0048,"negative"
"Fehlleistung",-0.0048,"negative"
"Fehltritt",-0.0048,"negative"
"Fehlverhalten",-0.3461,"negative"
"Feind",-0.8054,"negative"
"Feuer",-0.0445,"negative"
"Fiasko",-0.0048,"negative"
"Finanzkrise",-0.3283,"negative"
"Finte",-0.0048,"negative"
"Flaute",-0.0413,"negative"
"Fluch",-0.3534,"negative"
"Flucht",-0.0048,"negative"
"Flüchtiger",-0.0048,"negative"
"Flüchtigkeit",-0.0048,"negative"
"Flüchtling",-0.0048,"negative"
"Frechheit",-0.4665,"negative"
"Frust",-0.469,"negative"
"Frustration",-0.3354,"negative"
"Furcht",-0.5012,"negative"
"Fälschung",-0.3377,"negative"
"Gammler",-0.0048,"negative"
"Gangster",-0.3375,"negative"
"Garnichts",-0.0048,"negative"
"Gauner",-0.4592,"negative"
"Gebrechen",-0.3251,"negative"
"Gedränge",-0.0571,"negative"
"Gefahr",-1,"negative"
"Gefecht",-0.3373,"negative"
"Gefährdung",-0.0048,"negative"
"Gegner",-0.344,"negative"
"Geisteskrankheit",-0.0048,"negative"
"Geistlosigkeit",-0.0048,"negative"
"Geiz",-0.0048,"negative"
"Geizhals",-0.0048,"negative"
"Geizkragen",-0.0048,"negative"
"Geldstrafe",-0.3299,"negative"
"Geschmacklosigkeit",-0.0048,"negative"
"Geschäftsauflösung",-0.0048,"negative"
"Gestank",-0.0048,"negative"
"Gewalt",-0.5363,"negative"
"Gewalttätige",-0.0048,"negative"
"Gewalttätiger",-0.0048,"negative"
"Gift",-0.3505,"negative"
"Glanzlosigkeit",-0.0048,"negative"
"Gleichgültigkeit",-0.343,"negative"
"Glücklosigkeit",-0.0048,"negative"
"Gnadenlosigkeit",-0.0048,"negative"
"Grausamkeit",-0.3348,"negative"
"Groll",-0.6021,"negative"
"Groteske",-0.0048,"negative"
"Habgier",-0.0532,"negative"
"Haft",-0.0048,"negative"
"Handgemenge",-0.3174,"negative"
"Handicap",-0.0426,"negative"
"Handikap",-0.0426,"negative"
"Hass",-0.5014,"negative"
"Heimsuchung",-0.0048,"negative"
"Hektik",-0.0048,"negative"
"Hemmung",-0.0048,"negative"
"Herausforderung",-0.0048,"negative"
"Heuchelei",-0.0048,"negative"
"Heuchler",-0.3251,"negative"
"Hilflosigkeit",-0.3394,"negative"
"Hindernis",-0.0048,"negative"
"Hinterhalt",-0.0048,"negative"
"Hinterlist",-0.0048,"negative"
"Hohn",-0.0048,"negative"
"Horror",-0.0509,"negative"
"Hunger",-0.3531,"negative"
"Hungersnot",-0.4739,"negative"
"Hungertod",-0.0048,"negative"
"Hysterie",-0.3386,"negative"
"Härte",-0.0446,"negative"
"Hölle",-0.5052,"negative"
"Idiot",-0.0048,"negative"
"Illegalität",-0.0048,"negative"
"Immobilität",-0.0048,"negative"
"Ineffizienz",-0.0048,"negative"
"Infektion",-0.2059,"negative"
"Infiltration",-0.0048,"negative"
"Inflation",-0.3462,"negative"
"Inkompetenz",-0.0048,"negative"
"Inkonsequenz",-0.0455,"negative"
"Inkonsistenz",-0.3097,"negative"
"Instabilität",-0.3358,"negative"
"Intervention",-0.1975,"negative"
"Invasion",-0.0048,"negative"
